SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-6954,28.67606111,77.30147306
I-DL-DLHI-ENB-1358,28.67628333,77.29221111
I-DL-DLHI-ENB-9419,28.676498,77.268588
I-DL-DLHI-ENB-1383,28.67670278,77.30647222
I-DL-DLHI-ENB-9804,28.67675556,77.31799667
I-DL-DLHI-ENB-3376,28.67681944,77.31016111
I-DL-DLHI-ENB-4189,28.676875,77.26601667
I-DL-DLHI-ENB-1354,28.67708611,77.29463889
I-DL-DLHI-ENB-1365,28.67734167,77.31423889
I-DL-DLHI-ENB-3429,28.6783,77.313825
I-DL-DLHI-ENB-3346,28.67833889,77.26838583
I-DL-DLHI-ENB-1372,28.67853889,77.275825
I-DL-DLHI-ENB-3716,28.67883333,77.28026944
I-DL-DLHI-ENB-3538,28.67894167,77.29013889
I-DL-DLHI-ENB-6940,28.6791,77.27265278
I-DL-DLHI-ENB-4193,28.67999167,77.32608611
I-DL-DLHI-ENB-2489,28.6801,77.26843889
I-DL-DLHI-ENB-3074,28.68029167,77.31658889
I-DL-DLHI-ENB-3493,28.68045278,77.294125
I-DL-DLHI-ENB-9810,28.68067778,77.25966389
I-DL-DLHI-ENB-1387,28.68071944,77.25825556
I-DL-DLHI-ENB-1346,28.68076667,77.27030556
I-DL-DLHI-ENB-0281,28.68132222,77.25618889
I-DL-DLHI-ENB-3669,28.68162222,77.32825556
I-DL-DLHI-ENB-6540,28.68167222,77.26135
I-DL-DLHI-ENB-8890,28.68208611,77.33092778
I-DL-DLHI-ENB-4198,28.68245833,77.25903333
I-DL-DLHI-ENB-0585,28.68275556,77.29068333
I-DL-DLHI-ENB-4748,28.68285,77.29885
I-DL-DLHI-ENB-6948,28.68289722,77.28672778
I-DL-DLHI-ENB-6528,28.68335111,77.29299722
I-DL-DLHI-ENB-0326,28.68337639,77.26571667
I-DL-DLHI-ENB-1344,28.68343889,77.26408333
I-DL-DLHI-ENB-0297,28.68386639,77.301035
I-DL-DLHI-ENB-3229,28.68394139,77.326675
I-DL-DLHI-ENB-0332,28.68397222,77.26230278
I-DL-DLHI-ENB-1415,28.68419083,77.25885278
I-DL-DLHI-ENB-8798,28.684432,77.273922
I-DL-DLHI-ENB-2517,28.68462056,77.26710639
I-DL-DLHI-ENB-8787,28.68465722,77.29735
I-DL-DLHI-ENB-9167,28.684743,77.295648
I-DL-DLHI-ENB-2511,28.68484778,77.260225
I-DL-DLHI-ENB-9816,28.68488333,77.26210556
I-DL-DLHI-ENB-1322,28.68498583,77.32161667
I-DL-DLHI-ENB-1776,28.68533056,77.25555556
I-DL-DLHI-ENB-1331,28.68537417,77.27380833
I-DL-DLHI-ENB-1830,28.68558306,77.26365278
I-DL-DLHI-ENB-4213,28.68587333,77.26140278
I-DL-DLHI-ENB-1868,28.6859575,77.26603889
I-DL-DLHI-ENB-6502,28.68598056,77.26808306
I-DL-DLHI-ENB-8867,28.686,77.325275
I-DL-DLHI-ENB-2503,28.6862,77.28813611
I-DL-DLHI-ENB-1384,28.68631667,77.26015278
I-DL-DLHI-ENB-3095,28.68661389,77.30252333
I-DL-DLHI-ENB-1414,28.68692778,77.25692222
I-DL-DLHI-ENB-1517,28.68752778,77.27646667
I-DL-DLHI-ENB-3380,28.68766111,77.321075
I-DL-DLHI-ENB-1345,28.68769167,77.26566667
I-DL-DLHI-ENB-8796,28.68773333,77.26034444
I-DL-DLHI-ENB-9454,28.68782222,77.25926944
I-DL-DLHI-ENB-3675,28.68792222,77.32793056
I-DL-DLHI-ENB-6570,28.68798611,77.31767194
I-DL-DLHI-ENB-8797,28.68806111,77.26411667
I-DL-DLHI-ENB-1925,28.68826111,77.28409472
I-DL-DLHI-ENB-6945,28.68851111,77.26294722
I-DL-DLHI-ENB-1960,28.68872778,77.25428889
I-DL-DLHI-ENB-1926,28.68873333,77.26720139
I-DL-DLHI-ENB-6555,28.68884167,77.29228333
I-DL-DLHI-ENB-6936,28.68915278,77.27904444
I-DL-DLHI-ENB-1356,28.68923,77.30007
I-DL-DLHI-ENB-6514,28.68927222,77.27281389
I-DL-DLHI-ENB-2000,28.68930833,77.31340278
I-DL-DLHI-ENB-1332,28.68934722,77.26961944
I-DL-DLHI-ENB-3094,28.68966667,77.30966667
I-DL-DLHI-ENB-3104,28.68971944,77.28182222
I-DL-DLHI-ENB-3098,28.68978333,77.32236389
I-DL-DLHI-ENB-9462,28.68988611,77.264275
